provinceKey,dividedDistrictKey,dividedDistrictKeyWords,districtKey,districtDefault,source
tinhlaocai,huyenbatxat,"[""huyenbatxat"",""batxat""]",thanhpholaocai,,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_h%C3%A0nh_ch%C3%ADnh_L%C3%A0o_Cai
tinhlaocai,huyenbatxat,"[""huyenbatxat"",""batxat""]",huyenbatxat,TRUE,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_h%C3%A0nh_ch%C3%ADnh_L%C3%A0o_Cai
thanhphohue,thixahuongtra,"[""thixahuongtra"",""txhuongtra"",""huongtra""]",quanphuxuan,,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_h%C3%A0nh_ch%C3%ADnh_Hu%E1%BA%BF
thanhphohue,thixahuongtra,"[""thixahuongtra"",""txhuongtra"",""huongtra""]",quanthuanhoa,,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_h%C3%A0nh_ch%C3%ADnh_Hu%E1%BA%BF
thanhphohue,thixahuongtra,"[""thixahuongtra"",""txhuongtra"",""huongtra""]",thixahuongtra,TRUE,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_h%C3%A0nh_ch%C3%ADnh_Hu%E1%BA%BF
thanhphohue,thixahuongthuy,"[""thixahuongthuy"",""txhuongthuy"",""huongthuy""]",quanthuanhoa,,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_h%C3%A0nh_ch%C3%ADnh_Hu%E1%BA%BF
thanhphohue,thixahuongthuy,"[""thixahuongthuy"",""txhuongthuy"",""huongthuy""]",thixahuongthuy,TRUE,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_h%C3%A0nh_ch%C3%ADnh_Hu%E1%BA%BF
thanhphohue,huyenphuvang,"[""huyenphuvang"",""phuvang""]",quanthuanhoa,,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_h%C3%A0nh_ch%C3%ADnh_Hu%E1%BA%BF
thanhphohue,huyenphuvang,"[""huyenphuvang"",""phuvang""]",huyenphuvang,TRUE,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_h%C3%A0nh_ch%C3%ADnh_Hu%E1%BA%BF
tinhtuyenquang,huyenyenson,"[""huyenyenson"",""yenson""]",thanhphotuyenquang,,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_h%C3%A0nh_ch%C3%ADnh_Tuy%C3%AAn_Quang
tinhtuyenquang,huyenyenson,"[""huyenyenson"",""yenson""]",huyenyenson,TRUE,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_h%C3%A0nh_ch%C3%ADnh_Tuy%C3%AAn_Quang
tinhtuyenquang,huyenchiemhoa,"[""huyenchiemhoa"",""chiemhoa""]",huyenlambinh,,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_h%C3%A0nh_ch%C3%ADnh_Tuy%C3%AAn_Quang
tinhtuyenquang,huyenchiemhoa,"[""huyenchiemhoa"",""chiemhoa""]",huyenchiemhoa,TRUE,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_h%C3%A0nh_ch%C3%ADnh_Tuy%C3%AAn_Quang
tinhyenbai,huyenvanchan,"[""huyenvanchan"",""vanchan""]",thixanghialo,,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_h%C3%A0nh_ch%C3%ADnh_Y%C3%AAn_B%C3%A1i
tinhyenbai,huyenvanchan,"[""huyenvanchan"",""vanchan""]",huyenvanchan,TRUE,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_h%C3%A0nh_ch%C3%ADnh_Y%C3%AAn_B%C3%A1i
tinhdienbien,huyendienbien,"[""huyendienbien"",""dienbien""]",thanhphodienbienphu,,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_h%C3%A0nh_ch%C3%ADnh_%C4%90i%E1%BB%87n_Bi%C3%Aan
tinhdienbien,huyendienbien,"[""huyendienbien"",""dienbien""]",huyendienbien,TRUE,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_h%C3%A0nh_ch%C3%ADnh_%C4%90i%E1%BB%87n_Bi%C3%Aan
