province,ward,provinceShort,wardShort,wardType,provinceCode,provinceLat,provinceLon,wardCode,wardLat,wardLon,wardAreaKm2
Thủ đô Hà Nội,Phường Chương Mỹ,Hà Nội,Chương Mỹ,Phường,1,21.0001,105.698,12.0,20.9248,105.699,38.9
Thủ đô Hà Nội,Phường Sơn Tây,Hà Nội,Sơn Tây,Phường,1,21.0001,105.698,86.0,21.1441,105.49,23.08
Thủ đô Hà Nội,Phường Tùng Thiện,Hà Nội,Tùng Thiện,Phường,1,21.0001,105.698,108.0,21.1212,105.458,32.34
Thủ đô Hà Nội,Xã Đoài Phương,Hà Nội,Đoài Phương,Xã,1,21.0001,105.698,23.0,21.0682,105.486,57.1
Thủ đô Hà Nội,Xã Hòa Lạc,Hà Nội,Hòa Lạc,Xã,1,21.0001,105.698,35.0,21.0119,105.514,35.37
Thủ đô Hà Nội,Xã Minh Châu,Hà Nội,Minh Châu,Xã,1,21.0001,105.698,57.0,21.2114,105.453,10.36
Thủ đô Hà Nội,Xã Quảng Oai,Hà Nội,Quảng Oai,Xã,1,21.0001,105.698,82.0,21.174,105.427,49.26
Thủ đô Hà Nội,Xã Cổ Đô,Hà Nội,Cổ Đô,Xã,1,21.0001,105.698,14.0,21.2688,105.397,53.25
Thủ đô Hà Nội,Xã Vật Lại,Hà Nội,Vật Lại,Xã,1,21.0001,105.698,114.0,21.2174,105.392,51.75
Thủ đô Hà Nội,Xã Bất Bạt,Hà Nội,Bất Bạt,Xã,1,21.0001,105.698,6.0,21.1674,105.332,56.43
Thủ đô Hà Nội,Xã Suối Hai,Hà Nội,Suối Hai,Xã,1,21.0001,105.698,87.0,21.12,105.403,51.56
Thủ đô Hà Nội,Xã Ba Vì,Hà Nội,Ba Vì,Xã,1,21.0001,105.698,4.0,21.0581,105.341,81.27
Thủ đô Hà Nội,Xã Yên Bài,Hà Nội,Yên Bài,Xã,1,21.0001,105.698,122.0,21.0536,105.419,68.19
Thủ đô Hà Nội,Xã Phúc Thọ,Hà Nội,Phúc Thọ,Xã,1,21.0001,105.698,77.0,21.1124,105.528,39.66
Thủ đô Hà Nội,Xã Phúc Lộc,Hà Nội,Phúc Lộc,Xã,1,21.0001,105.698,73.0,21.1467,105.575,41.15
Thủ đô Hà Nội,Xã Hát Môn,Hà Nội,Hát Môn,Xã,1,21.0001,105.698,34.0,21.0897,105.623,37.67
Thủ đô Hà Nội,Xã Đan Phượng,Hà Nội,Đan Phượng,Xã,1,21.0001,105.698,21.0,21.0912,105.666,15.3
Thủ đô Hà Nội,Xã Dương Hòa,Hà Nội,Dương Hòa,Xã,1,21.0001,105.698,27.0,21.0489,105.673,17.41
Thủ đô Hà Nội,Xã Sơn Đồng,Hà Nội,Sơn Đồng,Xã,1,21.0001,105.698,85.0,21.024,105.705,21.57
Thủ đô Hà Nội,Xã Yên Xuân,Hà Nội,Yên Xuân,Xã,1,21.0001,105.698,127.0,20.978,105.47,78.01
Thủ đô Hà Nội,Xã Quốc Oai,Hà Nội,Quốc Oai,Xã,1,21.0001,105.698,83.0,21.0114,105.649,24.0
Thủ đô Hà Nội,Xã Tây Phương,Hà Nội,Tây Phương,Xã,1,21.0001,105.698,91.0,21.0367,105.611,31.06
Thủ đô Hà Nội,Xã Kiều Phú,Hà Nội,Kiều Phú,Xã,1,21.0001,105.698,49.0,20.975,105.607,34.53
Thủ đô Hà Nội,Xã Hưng Đạo,Hà Nội,Hưng Đạo,Xã,1,21.0001,105.698,45.0,20.9673,105.67,24.9
Thủ đô Hà Nội,Xã Hạ Bằng,Hà Nội,Hạ Bằng,Xã,1,21.0001,105.698,31.0,21.0202,105.561,32.14
Thủ đô Hà Nội,Xã Phú Cát,Hà Nội,Phú Cát,Xã,1,21.0001,105.698,66.0,20.9461,105.56,51.21
