address,wardLat,wardLon,wardBounds,wardFormattedAddress
"Phường An Hưng, Quận Hồng Bàng, Thành phố Hải Phòng",20.904281,106.584926,"20.895422,106.571426 – 20.922043,106.604872","An Hưng, An Dương, Hai Phong, Vietnam"
"Xã Tiên Động, Huyện Tứ Kỳ, Tỉnh Hải Dương",20.762163,106.443532,"20.744374,106.426018 – 20.777627,106.467746","Tiên Động, Tứ Kỳ District, Hai Duong, Vietnam"
"Thị trấn Thiệu Hóa, Huyện Thiệu Hóa, Tỉnh Thanh Hóa",19.8865,105.678593,"19.876638,105.664358 – 19.905109,105.7056","Thiệu Hóa, Thanh Hóa, Thanh Hoa, Vietnam"
"Xã Thiệu Long, Huyện Thiệu Hóa, Tỉnh Thanh Hóa",19.928132,105.682312,"19.91218,105.668392 – 19.942531,105.706265","Thiệu Long, Thanh Hóa, Vietnam"
"Phường Lạch Tray, Quận Ngô Quyền, Thành phố Hải Phòng",20.84671,106.691769,"20.839952,106.685679 – 20.852856,106.697373","Lạch Tray, Ngô Quyền, Hai Phong, Vietnam"
"Phường Vĩnh Niệm, Quận Lê Chân, Thành phố Hải Phòng",20.828154,106.691903,"20.815229,106.666308 – 20.840614,106.696418","Vĩnh Niệm, Lê Chân, Hai Phong, Vietnam"
"Phường Trần Nguyên Hãn, Quận Lê Chân, Thành phố Hải Phòng",20.848767,106.671133,"20.844454,106.667451 – 20.851628,106.673405","Trần Nguyên Hãn, Lê Chân, Hai Phong, Vietnam"
"Phường An Biên, Quận Lê Chân, Thành phố Hải Phòng",20.853809,106.678503,"20.851453,106.675025 – 20.856165,106.683995","An Biên, Lê Chân, Hai Phong, Vietnam"
"Phường Gia Viên, Quận Ngô Quyền, Thành phố Hải Phòng",20.856671,106.693243,"20.854451,106.689713 – 20.859012,106.697459","Gia Viên, Ngô Quyền, Hai Phong, Vietnam"
"Phường Đông Khê, Quận Ngô Quyền, Thành phố Hải Phòng",20.852105,106.702825,"20.846119,106.693779 – 20.859032,106.711675","Đông Khê, Ngô Quyền, Hai Phong, Vietnam"
"Phường Cầu Đất, Quận Ngô Quyền, Thành phố Hải Phòng",20.854665,106.684399,"20.851663,106.680926 – 20.856977,106.68628","Cau Dat, Ngô Quyền, Hai Phong, Vietnam"
"Xã Bính Xá, Huyện Đình Lập, Tỉnh Lạng Sơn",21.642919,107.124821,"21.555364,107.080994 – 21.737018,107.239652","Bính Xá, Đình Lập, Lạng Sơn, Vietnam"
"Phường Vĩnh Phú, Thành phố Thuận An, Tỉnh Bình Dương",10.877594,106.699775,"10.865831,106.688748 – 10.894566,106.723553","Vĩnh Phú, Thuận An, Binh Duong, Vietnam"
