provinceCode,isMergedProvince,districtCode,districtType,wardCode,wardType,isMergedWard,isDividedWard,province,district,ward,newProvince,newWard,newProvinceCode,newWardCode,newWardType,newWardLat,newWardLon,newWardAreaKm2
1,False,3,Quận,103.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Xuân La,Thủ đô Hà Nội,Nghĩa Đô,1,60.0,phường,21.0451,105.794,4.34
1,False,3,Quận,103.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Xuân La,Thủ đô Hà Nội,Phú Thượng,1,71.0,phường,21.086,105.802,7.21
1,False,3,Quận,103.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Xuân La,Thủ đô Hà Nội,Tây Hồ,1,89.0,phường,21.058,105.82,10.72
1,False,3,Quận,103.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Xuân La,Thủ đô Hà Nội,Xuân Đỉnh,1,119.0,phường,21.0645,105.795,5.46
1,False,3,Quận,106.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Yên Phụ,Thủ đô Hà Nội,Hồng Hà,1,42.0,phường,21.0567,105.845,15.09
1,False,3,Quận,106.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Yên Phụ,Thủ đô Hà Nội,Tây Hồ,1,89.0,phường,21.058,105.82,10.72
1,False,3,Quận,109.0,Phường,True,False,Thành phố Hà Nội,Quận Tây Hồ,Phường Bưởi,Thủ đô Hà Nội,Tây Hồ,1,89.0,phường,21.058,105.82,10.72
1,False,3,Quận,112.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Thụy Khuê,Thủ đô Hà Nội,Ba Đình,1,3.0,phường,21.0386,105.838,2.97
1,False,3,Quận,112.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Thụy Khuê,Thủ đô Hà Nội,Tây Hồ,1,89.0,phường,21.058,105.82,10.72
1,False,4,Quận,115.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Thượng Thanh,Thủ đô Hà Nội,Bồ Đề,1,9.0,phường,21.0514,105.87,12.94
1,False,4,Quận,115.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Thượng Thanh,Thủ đô Hà Nội,Việt Hưng,1,115.0,phường,21.0648,105.904,12.91
1,False,4,Quận,118.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Ngọc Thụy,Thủ đô Hà Nội,Bồ Đề,1,9.0,phường,21.0514,105.87,12.94
1,False,4,Quận,118.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Ngọc Thụy,Thủ đô Hà Nội,Hồng Hà,1,42.0,phường,21.0567,105.845,15.09
1,False,4,Quận,121.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Giang Biên,Thủ đô Hà Nội,Phúc Lợi,1,74.0,phường,21.0422,105.919,10.41
1,False,4,Quận,121.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Giang Biên,Thủ đô Hà Nội,Việt Hưng,1,115.0,phường,21.0648,105.904,12.91
1,False,4,Quận,124.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Đức Giang,Thủ đô Hà Nội,Bồ Đề,1,9.0,phường,21.0514,105.87,12.94
1,False,4,Quận,124.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Đức Giang,Thủ đô Hà Nội,Việt Hưng,1,115.0,phường,21.0648,105.904,12.91
1,False,4,Quận,127.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Việt Hưng,Thủ đô Hà Nội,Phúc Lợi,1,74.0,phường,21.0422,105.919,10.41
1,False,4,Quận,127.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Việt Hưng,Thủ đô Hà Nội,Việt Hưng,1,115.0,phường,21.0648,105.904,12.91
1,False,4,Quận,130.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Gia Thụy,Thủ đô Hà Nội,Bồ Đề,1,9.0,phường,21.0514,105.87,12.94
1,False,4,Quận,130.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Gia Thụy,Thủ đô Hà Nội,Long Biên,1,55.0,phường,21.0197,105.896,19.04
1,False,4,Quận,130.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Gia Thụy,Thủ đô Hà Nội,Việt Hưng,1,115.0,phường,21.0648,105.904,12.91
1,False,4,Quận,133.0,Phường,True,False,Thành phố Hà Nội,Quận Long Biên,Phường Ngọc Lâm,Thủ đô Hà Nội,Bồ Đề,1,9.0,phường,21.0514,105.87,12.94
1,False,4,Quận,136.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Lợi,Thủ đô Hà Nội,Phúc Lợi,1,74.0,phường,21.0422,105.919,10.41
1,False,4,Quận,136.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Lợi,Thủ đô Hà Nội,Việt Hưng,1,115.0,phường,21.0648,105.904,12.91
1,False,4,Quận,139.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Bồ Đề,Thủ đô Hà Nội,Bồ Đề,1,9.0,phường,21.0514,105.87,12.94
1,False,4,Quận,139.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Bồ Đề,Thủ đô Hà Nội,Hồng Hà,1,42.0,phường,21.0567,105.845,15.09
1,False,4,Quận,139.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Bồ Đề,Thủ đô Hà Nội,Long Biên,1,55.0,phường,21.0197,105.896,19.04
1,False,4,Quận,145.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Long Biên,Thủ đô Hà Nội,Bồ Đề,1,9.0,phường,21.0514,105.87,12.94
1,False,4,Quận,145.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Long Biên,Thủ đô Hà Nội,Long Biên,1,55.0,phường,21.0197,105.896,19.04
1,False,4,Quận,148.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Thạch Bàn,Thủ đô Hà Nội,Bát Tràng,1,7.0,xã,20.9928,105.917,20.67
1,False,4,Quận,148.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Thạch Bàn,Thủ đô Hà Nội,Long Biên,1,55.0,phường,21.0197,105.896,19.04
1,False,4,Quận,148.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Thạch Bàn,Thủ đô Hà Nội,Phúc Lợi,1,74.0,phường,21.0422,105.919,10.41
1,False,4,Quận,148.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Thạch Bàn,Thủ đô Hà Nội,Gia Lâm,1,29.0,xã,21.002,105.949,25.72
1,False,4,Quận,151.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Đồng,Thủ đô Hà Nội,Bồ Đề,1,9.0,phường,21.0514,105.87,12.94
1,False,4,Quận,151.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Đồng,Thủ đô Hà Nội,Long Biên,1,55.0,phường,21.0197,105.896,19.04
1,False,4,Quận,151.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Đồng,Thủ đô Hà Nội,Phúc Lợi,1,74.0,phường,21.0422,105.919,10.41
1,False,4,Quận,151.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Đồng,Thủ đô Hà Nội,Việt Hưng,1,115.0,phường,21.0648,105.904,12.91
1,False,4,Quận,154.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Cự Khối,Thủ đô Hà Nội,Bát Tràng,1,7.0,xã,20.9928,105.917,20.67
1,False,4,Quận,154.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Cự Khối,Thủ đô Hà Nội,Long Biên,1,55.0,phường,21.0197,105.896,19.04
