provinceCode,isMergedProvince,districtCode,districtType,wardCode,wardType,isMergedWard,isDividedWard,province,district,ward,newProvince,newWard,newWardShort,newProvinceCode,newProvinceLat,newProvinceLon,newWardCode,newWardType,newWardLat,newWardLon,newWardAreaKm2
1,False,3,Quận,103.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Xuân La,Thành phố Hà Nội,Phường Tây Hồ,Tây Hồ,01,21.0001,105.698,00103,Phường,21.058,105.82,10.72
1,False,3,Quận,103.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Xuân La,Thành phố Hà Nội,Phường Xuân Đỉnh,Xuân Đỉnh,01,21.0001,105.698,00611,Phường,21.0645,105.795,5.46
1,False,3,Quận,106.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Yên Phụ,Thành phố Hà Nội,Phường Hồng Hà,Hồng Hà,01,21.0001,105.698,00097,Phường,21.0567,105.845,15.09
1,False,3,Quận,106.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Yên Phụ,Thành phố Hà Nội,Phường Tây Hồ,Tây Hồ,01,21.0001,105.698,00103,Phường,21.058,105.82,10.72
1,False,3,Quận,109.0,Phường,True,False,Thành phố Hà Nội,Quận Tây Hồ,Phường Bưởi,Thành phố Hà Nội,Phường Tây Hồ,Tây Hồ,01,21.0001,105.698,00103,Phường,21.058,105.82,10.72
1,False,3,Quận,112.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Thụy Khuê,Thành phố Hà Nội,Phường Ba Đình,Ba Đình,01,21.0001,105.698,00004,Phường,21.0386,105.838,2.97
1,False,3,Quận,112.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Thụy Khuê,Thành phố Hà Nội,Phường Tây Hồ,Tây Hồ,01,21.0001,105.698,00103,Phường,21.058,105.82,10.72
1,False,4,Quận,115.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Thượng Thanh,Thành phố Hà Nội,Phường Bồ Đề,Bồ Đề,01,21.0001,105.698,00118,Phường,21.0514,105.87,12.94
1,False,4,Quận,115.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Thượng Thanh,Thành phố Hà Nội,Phường Việt Hưng,Việt Hưng,01,21.0001,105.698,00127,Phường,21.0648,105.904,12.91
1,False,4,Quận,118.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Ngọc Thụy,Thành phố Hà Nội,Phường Bồ Đề,Bồ Đề,01,21.0001,105.698,00118,Phường,21.0514,105.87,12.94
1,False,4,Quận,118.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Ngọc Thụy,Thành phố Hà Nội,Phường Hồng Hà,Hồng Hà,01,21.0001,105.698,00097,Phường,21.0567,105.845,15.09
1,False,4,Quận,121.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Giang Biên,Thành phố Hà Nội,Phường Phúc Lợi,Phúc Lợi,01,21.0001,105.698,00136,Phường,21.0422,105.919,10.41
1,False,4,Quận,121.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Giang Biên,Thành phố Hà Nội,Phường Việt Hưng,Việt Hưng,01,21.0001,105.698,00127,Phường,21.0648,105.904,12.91
1,False,4,Quận,124.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Đức Giang,Thành phố Hà Nội,Phường Bồ Đề,Bồ Đề,01,21.0001,105.698,00118,Phường,21.0514,105.87,12.94
1,False,4,Quận,124.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Đức Giang,Thành phố Hà Nội,Phường Việt Hưng,Việt Hưng,01,21.0001,105.698,00127,Phường,21.0648,105.904,12.91
1,False,4,Quận,127.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Việt Hưng,Thành phố Hà Nội,Phường Phúc Lợi,Phúc Lợi,01,21.0001,105.698,00136,Phường,21.0422,105.919,10.41
1,False,4,Quận,127.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Việt Hưng,Thành phố Hà Nội,Phường Việt Hưng,Việt Hưng,01,21.0001,105.698,00127,Phường,21.0648,105.904,12.91
1,False,4,Quận,130.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Gia Thụy,Thành phố Hà Nội,Phường Bồ Đề,Bồ Đề,01,21.0001,105.698,00118,Phường,21.0514,105.87,12.94
1,False,4,Quận,130.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Gia Thụy,Thành phố Hà Nội,Phường Long Biên,Long Biên,01,21.0001,105.698,00145,Phường,21.0197,105.896,19.04
1,False,4,Quận,130.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Gia Thụy,Thành phố Hà Nội,Phường Việt Hưng,Việt Hưng,01,21.0001,105.698,00127,Phường,21.0648,105.904,12.91
1,False,4,Quận,133.0,Phường,True,False,Thành phố Hà Nội,Quận Long Biên,Phường Ngọc Lâm,Thành phố Hà Nội,Phường Bồ Đề,Bồ Đề,01,21.0001,105.698,00118,Phường,21.0514,105.87,12.94
1,False,4,Quận,136.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Lợi,Thành phố Hà Nội,Phường Phúc Lợi,Phúc Lợi,01,21.0001,105.698,00136,Phường,21.0422,105.919,10.41
1,False,4,Quận,136.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Lợi,Thành phố Hà Nội,Phường Việt Hưng,Việt Hưng,01,21.0001,105.698,00127,Phường,21.0648,105.904,12.91
1,False,4,Quận,139.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Bồ Đề,Thành phố Hà Nội,Phường Bồ Đề,Bồ Đề,01,21.0001,105.698,00118,Phường,21.0514,105.87,12.94
1,False,4,Quận,139.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Bồ Đề,Thành phố Hà Nội,Phường Hồng Hà,Hồng Hà,01,21.0001,105.698,00097,Phường,21.0567,105.845,15.09
1,False,4,Quận,139.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Bồ Đề,Thành phố Hà Nội,Phường Long Biên,Long Biên,01,21.0001,105.698,00145,Phường,21.0197,105.896,19.04
1,False,4,Quận,145.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Long Biên,Thành phố Hà Nội,Phường Bồ Đề,Bồ Đề,01,21.0001,105.698,00118,Phường,21.0514,105.87,12.94
1,False,4,Quận,145.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Long Biên,Thành phố Hà Nội,Phường Long Biên,Long Biên,01,21.0001,105.698,00145,Phường,21.0197,105.896,19.04
1,False,4,Quận,148.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Thạch Bàn,Thành phố Hà Nội,Xã Bát Tràng,Bát Tràng,01,21.0001,105.698,00577,Xã,20.9928,105.917,20.67
1,False,4,Quận,148.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Thạch Bàn,Thành phố Hà Nội,Phường Long Biên,Long Biên,01,21.0001,105.698,00145,Phường,21.0197,105.896,19.04
1,False,4,Quận,148.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Thạch Bàn,Thành phố Hà Nội,Phường Phúc Lợi,Phúc Lợi,01,21.0001,105.698,00136,Phường,21.0422,105.919,10.41
1,False,4,Quận,148.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Thạch Bàn,Thành phố Hà Nội,Xã Gia Lâm,Gia Lâm,01,21.0001,105.698,00565,Xã,21.002,105.949,25.72
1,False,4,Quận,151.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Đồng,Thành phố Hà Nội,Phường Bồ Đề,Bồ Đề,01,21.0001,105.698,00118,Phường,21.0514,105.87,12.94
1,False,4,Quận,151.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Đồng,Thành phố Hà Nội,Phường Long Biên,Long Biên,01,21.0001,105.698,00145,Phường,21.0197,105.896,19.04
1,False,4,Quận,151.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Đồng,Thành phố Hà Nội,Phường Phúc Lợi,Phúc Lợi,01,21.0001,105.698,00136,Phường,21.0422,105.919,10.41
1,False,4,Quận,151.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Đồng,Thành phố Hà Nội,Phường Việt Hưng,Việt Hưng,01,21.0001,105.698,00127,Phường,21.0648,105.904,12.91
1,False,4,Quận,154.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Cự Khối,Thành phố Hà Nội,Xã Bát Tràng,Bát Tràng,01,21.0001,105.698,00577,Xã,20.9928,105.917,20.67
1,False,4,Quận,154.0,Phường,True,True,Thành phố Hà Nội,Quận Long Biên,Phường Cự Khối,Thành phố Hà Nội,Phường Long Biên,Long Biên,01,21.0001,105.698,00145,Phường,21.0197,105.896,19.04
1,False,5,Quận,157.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Nghĩa Đô,Thành phố Hà Nội,Phường Nghĩa Đô,Nghĩa Đô,01,21.0001,105.698,00160,Phường,21.0451,105.794,4.34
1,False,5,Quận,157.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Nghĩa Đô,Thành phố Hà Nội,Phường Ngọc Hà,Ngọc Hà,01,21.0001,105.698,00008,Phường,21.0381,105.816,2.68
1,False,5,Quận,157.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Nghĩa Đô,Thành phố Hà Nội,Phường Tây Hồ,Tây Hồ,01,21.0001,105.698,00103,Phường,21.058,105.82,10.72
1,False,5,Quận,160.0,Phường,True,False,Thành phố Hà Nội,Quận Cầu Giấy,Phường Nghĩa Tân,Thành phố Hà Nội,Phường Nghĩa Đô,Nghĩa Đô,01,21.0001,105.698,00160,Phường,21.0451,105.794,4.34
1,False,5,Quận,163.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Mai Dịch,Thành phố Hà Nội,Phường Nghĩa Đô,Nghĩa Đô,01,21.0001,105.698,00160,Phường,21.0451,105.794,4.34
1,False,5,Quận,163.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Mai Dịch,Thành phố Hà Nội,Phường Phú Diễn,Phú Diễn,01,21.0001,105.698,00619,Phường,21.0489,105.766,6.29
1,False,5,Quận,163.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Mai Dịch,Thành phố Hà Nội,Phường Từ Liêm,Từ Liêm,01,21.0001,105.698,00592,Phường,21.0204,105.771,10.18
1,False,5,Quận,166.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng,Thành phố Hà Nội,Phường Cầu Giấy,Cầu Giấy,01,21.0001,105.698,00166,Phường,21.0309,105.788,3.74
1,False,5,Quận,166.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng,Thành phố Hà Nội,Phường Nghĩa Đô,Nghĩa Đô,01,21.0001,105.698,00160,Phường,21.0451,105.794,4.34
1,False,5,Quận,167.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,Thành phố Hà Nội,Phường Cầu Giấy,Cầu Giấy,01,21.0001,105.698,00166,Phường,21.0309,105.788,3.74
1,False,5,Quận,167.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,Thành phố Hà Nội,Phường Nghĩa Đô,Nghĩa Đô,01,21.0001,105.698,00160,Phường,21.0451,105.794,4.34
1,False,5,Quận,169.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Quan Hoa,Thành phố Hà Nội,Phường Cầu Giấy,Cầu Giấy,01,21.0001,105.698,00166,Phường,21.0309,105.788,3.74
1,False,5,Quận,169.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Quan Hoa,Thành phố Hà Nội,Phường Nghĩa Đô,Nghĩa Đô,01,21.0001,105.698,00160,Phường,21.0451,105.794,4.34
1,False,5,Quận,172.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,Thành phố Hà Nội,Phường Cầu Giấy,Cầu Giấy,01,21.0001,105.698,00166,Phường,21.0309,105.788,3.74
1,False,5,Quận,172.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,Thành phố Hà Nội,Phường Yên Hòa,Yên Hòa,01,21.0001,105.698,00175,Phường,21.0139,105.796,4.1
